ID;TITLE;YEAR;KEY;PUBLISHED INTO;PUBLICATION TYPE;BIBTEX;TYPE OF WORK;ABSTRACT;CATEGORY;LLM APPROACH TYPE;BENCHMARK;LLMs USED;EVALUATION METRIC;TOOL
P12;"CODAMOSA: Escaping Coverage Plateaus in Test
Generation with Pre-trained Large Language Models";2023;Lemieux2024;C: ICSE;Conference;"@Inproceedings{Lemieux2024 ,
  author =       ""Lemieux, Caroline and Inala, Jeevana Priya and Lahiri, Shuvendu K and Sen, Siddhartha"",
  title =        ""Codamosa: Escaping coverage plateaus in test generation with pre-trained large language models"",
  booktitle =    ""Proceedings of the 2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)"",
  series =       ""ICSE '23"",
  editor =       """",
  volume =       """",
  year =         ""2023"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Melbourne, Australia"",
  pages =        ""919--931"",
  doi =          ""https://doi.org/10.1109/ICSE48619.2023.00085"",
  url =          ""10.1109/ICSE48619.2023.00085""
}";Research Contribution;"Search-based software testing (SBST) generates
high-coverage test cases for programs under test with a combination of test case generation and mutation. SBST’s performance
relies on there being a reasonable probability of generating
test cases that exercise the core logic of the program under
test. Given such test cases, SBST can then explore the space
around them to exercise various parts of the program. This paper
explores whether Large Language Models (LLMs) of code, such
as OpenAI’s Codex, can be used to help SBST’s exploration.
Our proposed algorithm, CODAMOSA, conducts SBST until its
coverage improvements stall, then asks Codex to provide example
test cases for under-covered functions. These examples help
SBST redirect its search to more useful areas of the search
space. On an evaluation over 486 benchmarks, CODAMOSA
achieves statistically significantly higher coverage on many more
benchmarks (173 and 279) than it reduces coverage on (10 and
4), compared to SBST and LLM-only baselines.";Test Augmentation or Improvement;Hybrid-Prompting;Pynguin, BugsInPy;OpenAI Codex;Test Coverage;
P13;Code-Aware Prompting- A Study of Coverage-Guided Test Generation in Regression Setting using LLM;2024;Ryan2024;J: Emp. Soft. Eng.;Journal;"@article{Ryan2024,
  title = ""Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM"",
  author = ""Gabriel Ryan and Siddhartha Jain and Mingyue Shang and Shiqi Wang and Xiaofei Ma and Murali Krishna Ramanathan and Baishakhi Ray"",
  journal = ""Proceedings of the ACM on Software Engineering"",
  volume = ""1"",
  number = ""4"",
  issue = ""FSE"",
  pages = ""951--971"",
  year = ""2024"",
  publisher = ""Association for Computing Machinery"",
  doi = ""10.1145/3643769"",
  url = ""https://doi.org/10.1145/3643769""
}
";Research Contribution;Testing plays a pivotal role in ensuring software quality, yet conventional Search Based Software Testing (SBST) methods often struggle with complex software units, achieving suboptimal test coverage. Recent work using large language models (LLMs) for test generation have focused on improving generation quality through optimizing the test generation context and correcting errors in model outputs, but use fixed prompting strategies that prompt the model to generate tests without additional guidance. As a result LLM-generated testsuites still suffer from low coverage. In this paper, we present SymPrompt, a code-aware prompting strategy for LLMs in test generation. SymPrompt’s approach is based on recent work that demonstrates LLMs can solve more complex logical problems when prompted to reason about the problem in a multi-step fashion. We apply this methodology to test generation by deconstructing the testsuite generation process into a multi-stage sequence, each of which is driven by a specific prompt aligned with the execution paths of the method under test, and exposing relevant type and dependency focal context to the model. Our approach enables pretrained LLMs to generate more complete test cases without any additional training. We implement SymPrompt using the TreeSitter parsing framework and evaluate on a benchmark challenging methods from open source Python projects. SymPrompt enhances correct test generations by a factor of 5 and bolsters relative coverage by 26% for CodeGen2. Notably, whenapplied to GPT-4, SymPrompt improves coverage by over 2× compared to baseline prompting strategies;Unit Test Generation;LLM-Pure-Prompting;BugsInPy, Pynguin;CodeGen 2, GPT-Family;% Build, % Pass, Test Coverage;SymPrompt
P14;Design choices made by LLM-based test generators prevent them from finding bugs;2024;Mathews2024;arXiv;arXiv;"@misc{Mathews2024,
  title = ""Design choices made by LLM-based test generators prevent them from finding bugs"",
  author = ""Noble Saji Mathews and Meiyappan Nagappan"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2024"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2412.14137"",
  url = ""https://doi.org/10.48550/arXiv.2412.14137""
}";Research Contribution;There is an increasing amount of research and commercial tools for automated test case generation using Large Language Models (LLMs). This paper critically examines whether recent LLM-based test generation tools, such as Codium CoverAgent and CoverUp, can effectively find bugs or unintentionally validate faulty code. Considering bugs are only exposed by failing test cases, we explore the question: can these tools truly achieve the intended objectives of software testing when their test oracles are designed to pass? Using real humanwritten buggy code as input, we evaluate these tools, showing how LLM-generated tests can fail to detect bugs and, more alarmingly, how their design can worsen the situation by validating bugs in the generated test suite and rejecting bug-revealing tests. These f indings raise important questions about the validity of the design behind LLM-based test generation tools and their impact on software quality and test suite reliability.;Reflections;LLM-Pure-Prompting;Refactory;GPT-Family;Other;
P15;"Generating Test Scenarios from NL Requirements
using Retrieval-Augmented LLMs: An Industrial Study";2024;Chetan2024;C: RE;Conference;"@Inproceedings{Chetan2024 ,
  author =       ""Chetan Arora and Tomas Herda and Verena Homm"",
  title =        ""Training Large Language Models for System-Level Test Program Generation Targeting Non-functional Properties"",
  booktitle =    ""Proceedings of the IEEE 32nd International Requirements Engineering Conference (RE)"",
  series =       """",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Institute of Electrical and Electronics Engineers Inc."",
  address =      ""Reykjavik, Iceland"",
  pages =        ""240-251"",
  doi =          ""10.1109/re59067.2024.00031"",
  url =          ""https://doi.org/10.1109/re59067.2024.00031"",
  number =       """",
  month =        """",
  organization = """",
  note =         """",
}";Research Contribution;"Test scenarios are specific instances of test
cases that describe a sequence of actions to validate a
particular software functionality. By outlining the conditions
under which the software operates and the expected
outcomes, test scenarios ensure that the software
functionality is tested in an integrated manner. Test
scenarios are crucial for systematically testing an application
under various conditions, including edge cases,
to identify potential issues and guarantee overall performance
and reliability. Manually specifying test scenarios
is tedious and requires a deep understanding of software
functionality and the underlying domain. It further
demands substantial effort and investment from already
time- and budget-constrained requirements engineers
and testing teams. This paper presents an automated
approach (RAGTAG) for test scenario generation using
Retrieval-Augmented Generation (RAG) with Large
Language Models (LLMs). RAG allows the integration
of specific domain knowledge with LLMs’ generation
capabilities. We evaluate RAGTAG on two industrial
projects from Austrian Post with bilingual requirements
in German and English. Our results from an interview
survey conducted with four experts on five dimensions
– relevance, coverage, correctness, coherence and feasibility,
affirm the potential of RAGTAG in automating
test scenario generation. Specifically, our results indicate
that, despite the difficult task of analyzing bilingual
requirements, RAGTAG is able to produce scenarios that
are well-aligned with the underlying requirements and
provide coverage of different aspects of the intended
functionality. The generated scenarios are easily understandable
to experts and feasible for testing in the
project environment. The overall correctness is deemed
satisfactory; however, gaps in capturing exact action
sequences and domain nuances remain, underscoring
the need for domain expertise when applying LLMs.";High-Level Test Gen;LLM-Pure-Prompting;Custom;GPT-Family;ROUGE, BLEU, METEOR;Approach not a tool
P16;Large-scale, Independent and Comprehensive study of the power of LLMs for test case generation;2024;OuedraogoarXiv2024;arXiv;arXiv;"@misc{OuedraogoarXiv2024,
  title = ""Large-scale, Independent and Comprehensive study of the power of LLMs for test case generation"",
  author = ""Wendkûuni C. Ouédraogo and Kader Kaboré and Haoye Tian and Yewei Song and Anil Koyuncu and Jacques Klein and David Lo and Tegawendé F. Bissyandé"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2025"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2407.00225"",
  url = ""https://doi.org/10.48550/arXiv.2407.00225""
}";Research Contribution;Unit testing, crucial for ensuring the reliability of code modules, such as classes and methods, is often overlooked by developers due to time constraints. Automated test generation techniques have emerged to address this, but they frequently lack readability and require significant developer intervention. Large Language Models (LLMs), such as GPT and Mistral, have shown promise in software engineering tasks, including test generation, but their overall effectiveness remains unclear. This study presents an extensive investigation of LLMs, evaluating the effectiveness of four models and five prompt engineering techniques for unit test generation. We analyze 216300 tests generated by the selected advanced instruct-tuned LLMs for 690 Java classes collected from diverse datasets. Our evaluation considers correctness, understandability, coverage, and test smell detection in the generated tests, comparing them to a widely used automated testing tool, EvoSuite. While LLMs demonstrate potential, improvements in test quality—particularly in reducing common test smells—are necessary. This study highlights the strengths and limitations of LLM-generated tests compared to traditional methods, paving the way for further research on LLMs in test automation.;Reflections;LLM-Pure-Prompting;Defects4J, Custom, SF11;Mistral, GPT-Family;MSR, CSR, % Build, % Pass, Test Coverage, Static Analysis Metrics, % Test Smells;-
P17;Leveraging Large Language Models to Improve REST API Testing;2024;Myeongsoo2024;C: ICSE;Conference;"@Inproceedings{Myeongsoo2024 ,
  author =       ""Kim, Myeongsoo and Stennett, Tyler and Shah, Dhruv and Sinha, Saurabh and Orso, Alessandro"",
  title =        ""Leveraging Large Language Models to Improve REST API Testing"",
  booktitle =    ""Proceedings of the 2024 ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results"",
  series =       ""ICSE-NIER'24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Lisbon, Portugal"",
  pages =        ""37–-41"",
  doi =          ""https://doi.org/10.1145/3639476.3639769"",
  url =          ""10.1145/3639476.3639769""
}";Research Contribution;Thewidespread adoption of REST APIs, coupled with their growing complexity and size, has led to the need for automated REST API testing tools. Current tools focus on the structured data in REST API specifications but often neglect valuable insights available in unstructured natural-language descriptions in the specifications, which leads to suboptimal test coverage. Recently, to address this gap, researchers have developed techniques that extract rules from these human-readable descriptions and query knowledge bases to derive meaningful input values. However, these techniques are limited in the types of rules they can extract and prone to produce inaccurate results. This paper presents RESTGPT, an innovative approach that leverages the power and intrinsic context-awareness of Large Language Models (LLMs) to improve REST API testing. RESTGPT takes as input an API specification, extracts machineinterpretable rules, and generates example parameter values from natural-language descriptions in the specification. It then augments the original specification with these rules and values. Our evaluations indicate that RESTGPT outperforms existing techniques in both rule extraction and value generation. Given these promising results, we outline future research directions for advancing REST API testing through LLMs.;Test Augmentation or Improvement;LLM-Pure-Prompting;NLP2REST;GPT-Family;Other;
P18;LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing;2024;XueISSTA2024;C: SIGSOFT;Conference;"@Inproceedings{XueISSTA2024 ,
  author =       ""Zhiyi Xue and Liangguo Li and Senyue Tian and Xiaohong Chen and Pingping Li and Liangyu Chen and Tingting Jiang and Min Zhang"",
  title =        ""LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing"",
  booktitle =    ""ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis"",
  series =       """",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery, Inc"",
  address =      ""Vienna, Austria"",
  pages =        ""1643-1655"",
  doi =          ""10.1145/3650212.3680388"",
  url =          ""https://dl.acm.org/doi/10.1145/3650212.3680388"",
  number =       """",
  month =        ""9"",
  organization = """",
  note =         """",
}";Research Contribution;FinTech software, crucial for both safety and timely market deployment, presents a compelling case for automated acceptance testing against regulatory business rules. However, the inherent challenges of comprehending unstructured natural language descriptions of these rules and crafting comprehensive test cases demand human intelligence. The emergence of Large Language Models (LLMs) holds promise for automated test case generation, leveraging their natural language processing capabilities. Yet, their dependence on human intervention for effective prompting hampers efficiency. In response, we introduce a groundbreaking, fully automated approach for generating high-coverage test cases from natural language business rules. Our methodology seamlessly integrates the versatility of LLMs with the predictability of algorithmic methods. We fine-tune pre-trained LLMs for improved information extraction accuracy and algorithmically generate comprehensive testable scenarios for the extracted business rules.Our prototype, LLM4Fin, is designed for testing real-world stock-trading software. Experimental results demonstrate LLM4Fin's superiority over both state-of-the-art LLM, such as ChatGPT, and skilled testing engineers. We achieve remarkable performance, with up to 98.18% and an average of 20%-110% improvement on business scenario coverage, and up to 93.72% on code coverage, while reducing the time cost from 20 minutes to a mere 7 seconds. These results provide robust evidence of the framework's practical applicability and efficiency, marking a significant advancement in FinTech software testing.;High-Level Test Gen;LLM-Pure-FineTune;Custom;ChatGLM, FinBert, Mengzi, Llama-Family, GPT-Family;Test Coverage, BS Coverage;LLMFin
P19;Navigating Confidentiality in Test Automation: A Case Study in LLM Driven Test Data Generation;2024;Karmarkar2024;C: SANER;Conference;"@Inproceedings{Karmarkar2024 ,
  author =       ""Karmarkar, Hrishikesh and Agrawal, Supriya and Chauhan, Avriti and Shete, Pranav"",
  title =        ""Navigating Confidentiality in Test Automation: A Case Study in LLM Driven Test Data Generation"",
  booktitle =    ""2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)"",
  series =       """",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Rovaniemi , Finland"",
  pages =        ""337--348"",
  doi =          ""10.1109/SANER60148.2024.00041"",
  url =          ""https://doi.org/10.1109/SANER60148.2024.00041""
}";Research Contribution;"In outsourced industrial projects for testing of web applications, often neither the application
to be tested, nor its source code are provided to the
testing team, due to confidentiality reasons, making
systematic testing of these applications very challenging. However, textual descriptions of such systems are
often available. So, one can consider leveraging a Large
Language Model (LLM) to parse these descriptions
and synthesize test generators (programs that produce
test data). In our experience, LLM synthesized test
generators suffer from two problems:- (1) unsound:
the generators might produce invalid data and (2)
incomplete: the generators typically fail to generate all
expected valid inputs. To mitigate these problems, we
introduce TestRefineGen a method for autonomously
generating test data from textual descriptions. TestRefineGen begins by invoking an LLM to parse a given
corpus of documents and produce multiple test generators. It then uses a novel ranking approach to identify
generators that can produce invalid test data, and then
automatically repairs them using a counterexampleguided refinement process. Lastly, TestRefineGen performs a generalization procedure that offsets synthesis
or refinements that leads to incompleteness, to obtain
generators that produce more comprehensive valid inputs.
We evaluated the effectiveness of TestRefineGen on
a manually curated set of 256 textual descriptions of
test data. TestRefineGen synthesized generators that
produce valid test data for 66.01 % of the descriptions.
Using a combination of post-processing sanitisation and
refinement it was able to successfully repair synthesized
generators, which improved the success rate to 76.95
%. Further, our statistical analysis on a small subset
of synthesized generators shows that TestRefineGen is
able to generate test data that is well distributed across
the input space. Thus, TestRefineGen can be an effective technique for autonomous test data generation for
web testing in projects with confidentiality concerns.
Index Terms—automated test input generation, testing, refinement, Large Language Models";High-Level Test Gen;LLM-Pure-Prompting;Custom;GPT-Family;;TestReﬁneGen
P20;Evaluating and Improving ChatGPT for Unit Test Generation;2024;Yuan2024;J: ACM Soft. Eng.;Conference;"@article{Yuan2024,
  title = ""Evaluating and Improving ChatGPT for Unit Test Generation"",
  author = ""Yuan, Zhiqiang and Liu, Mingwei and Ding, Shiji and Wang, Kaixin and Chen, Yixuan and Peng, Xin and Lou, Yiling"",
  journal = ""Proceedings of the ACM on Software Engineering"",
  volume = ""1"",
  number = ""76"",
  issue = ""FSE"",
  pages = """",
  year = ""2024"",
  publisher = ""Association for Computing Machinery"",
  doi = ""10.1145/3660783"",
  url = ""https://doi.org/10.1145/3660783""
}";Research Contribution;"Unit testing plays an essential role in detecting bugs in functionally-discrete program units (e.g., methods). Manually writing high-quality unit tests is time-consuming and laborious. Although the traditional techniques are able to generate tests with reasonable coverage, they are shown to exhibit low readability and still cannot be directly adopted by developers in practice. Recent work has shown the large potential of large language models (LLMs) in unit test generation. By being pre-trained on a massive developer-written code corpus, the models are capable of generating more human-like and meaningful test code. In this work, we perform the rst empirical study to evaluate the capability of ChatGPT (i.e., one of the most representative LLMs with outstanding performance in code generation and comprehension) in unit test generation. In particular, we conduct both a quantitative analysis and a user study to systematically investigate the quality of its generated tests in terms of correctness, su ciency, readability, and usability. We nd that the tests generated by ChatGPT still su er from correctness issues, including diverse compilation errors and execution failures (mostly caused by incorrect assertions); but the passing tests generated by ChatGPT almost resemble manually-written tests by achieving comparable coverage, readability, and even sometimes developers’ preference. Our ndings indicate that generating unit tests with ChatGPT could be very promising if the correctness of its generated tests could be further improved. Inspired by our ndings above, we further propose ChatTester, a novel ChatGPT-based unit test generation approach, which leverages ChatGPT itself to improve the quality of its generated tests. ChatTester incorporates an initial test generator and an iterative test re ner. Our evaluation demonstrates the e ectiveness of ChatTester by generating 34.3% more compilable tests and 18.7% more tests with correct assertions than the default ChatGPT. In addition to ChatGPT, we further investigate the generalization capabilities of ChatTester by applying it to two recent open-source LLMs (i.e., CodeLlama-Instruct and CodeFuse) and our results show that ChatTester can also improve the quality of tests generated by these LLMs.";Unit Test Generation;LLM-Pure-Prompting;CodeSearchNet;CodeLlama, CodeFuse, GPT-Family;% Build, % Pass, Test Coverage, Other;-
P21;On the Use of Large Language Models in Mutation Testing;2025;WangarXiv2024;arXiv;arXiv;"@misc{WangarXiv2024,
  title = ""An Exploratory Study on Using Large Language Models for Mutation Testing"",
  author = ""Bo Wang and Mingda Chen and Youfang Lin and Mike Papadakis and Jie M. Zhang"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2024"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2406.09843"",
  url = ""https://doi.org/10.48550/arXiv.2406.09843""
}";Research Contribution;Mutation testing is a foundation approach in the software testing field, based on automatically seeded small syntactic changes, known as mutations. The question of how to generate high-utility mutations, to be used for testing purposes, forms a key challenge in mutation testing literature. Large Language Models (LLMs) have shown great potential in code-related tasks but their utility in mutation testing remains unexplored. To this end, we systematically investigate the performance of LLMs in generating effective mutations w.r.t. to their usability, fault detection potential, and relationship with real bugs. In particular, we perform a large-scale empirical study involving six LLMs, including both state-of-the-art open- and closed-source models, and 851 real bugs on two Java benchmarks (i.e., 605 bugs from 12 projects of Defects4J 2.0 and 246 bugs of ConDefects). Wefindthat compared to existing approaches, LLMs generate more diverse mutations that are behaviorally closer to real bugs, which leads to approximately 19% higher fault detection than current approaches (i.e., 93% vs. 74%). Nevertheless, the mutants generated by LLMs have worse compilability rate, useless mutation rate, and equivalent mutation rate than those generated by rule-based approaches. This paper also examines alternative prompt engineering strategies and identifies the root causes of uncompilable mutations, providing insights for researchers to further enhance the performance of LLMs in mutation testing.;Test Augmentation or Improvement;LLM-Pure-Prompting;Defects4J, ConDefects;CodeLlama, DeepSeekCoder, StarChat, GPT-Family;Bugs Rate, % Build, Other;
